epoch,step,train/loss,train/reward,val/reward
0,19,,,-7.596289157867432
1,39,,,-3.8912975788116455
2,49,-21.385147094726562,-4.128746032714844,
2,59,,,-3.1494979858398438
3,79,,,-2.95731258392334
4,99,-16.955425262451172,-3.199312448501587,
4,99,,,-2.865356922149658
5,119,,,-2.888091802597046
6,139,,,-2.8058362007141113
7,149,-10.954475402832031,-3.05876088142395,
7,159,,,-2.6903817653656006
8,179,,,-2.7628109455108643
9,199,-5.727954387664795,-2.821195602416992,
9,199,,,-2.718135118484497
